Headline,Generated_Expression,Generation_Method,Final_Selection
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","não se pescam gotículas a bragas suspensas.
",Comp_Vec,TFIDFVectorizer
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","uma gotícula suspensa põe o rebanho a perder.
",Comp_Vec,BERT
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","uma vida mais simples
",-,TFIDFVectorizer
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","receia-se menos um bravo em cólera, que um cobarde que dissimula.
",-,BERT
"Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online
","a publicidade de roubar
",Substitution,TFIDFVectorizer
"Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online
","semanas disponíveis... e metade das férias escolares
",Substitution,BERT
"Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online
","o jogo da pondera
",Analogy,TFIDFVectorizer
"Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online
","o jogo - descartar para ponderar
",Analogy,BERT
"Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online
","o desconfiado pondera a limitar traído.
",Comp_Vec,TFIDFVectorizer
"Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online
","não limites para o que eu pondero, olha para o que eu escrevo
",Comp_Vec,BERT
"Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online
","o jogo da verdade
",-,TFIDFVectorizer
"Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online
","mais vale um gosto na vida que dez reis na algibeira.
",-,BERT
"Noivos desesperam por terminar lua de mel, mesmo estando ""presos"" nas Maldivas
","na terra de fim e mel
",Substitution,TFIDFVectorizer
"Noivos desesperam por terminar lua de mel, mesmo estando ""presos"" nas Maldivas
","na mente de um planeta
",Substitution,BERT
"Noivos desesperam por terminar lua de mel, mesmo estando ""presos"" nas Maldivas
","o mau desespera nas maldades, e o bom, nas virtudes.
",Analogy,TFIDFVectorizer
"Noivos desesperam por terminar lua de mel, mesmo estando ""presos"" nas Maldivas
","o homem desespere sempre com locomovo, e a mulher não lhe toque o vento.
",Analogy,BERT
"Noivos desesperam por terminar lua de mel, mesmo estando ""presos"" nas Maldivas
","o mau desespera nas maldades, e o bom, nas virtudes.
",Comp_Vec,TFIDFVectorizer
"Noivos desesperam por terminar lua de mel, mesmo estando ""presos"" nas Maldivas
","mel desespera o que mel vale.
",Comp_Vec,BERT
"Noivos desesperam por terminar lua de mel, mesmo estando ""presos"" nas Maldivas
","o quarto de noivos
",-,TFIDFVectorizer
"Noivos desesperam por terminar lua de mel, mesmo estando ""presos"" nas Maldivas
","as multidões sempre estão nos extremos, quando não tremem, ameaçam.
",-,BERT
"Futebol. Câmara do Porto quer transmissão de jogos em drive-in
","o ano do porto
",Substitution,TFIDFVectorizer
"Futebol. Câmara do Porto quer transmissão de jogos em drive-in
","nada há tão contagioso, como o presidente.
",Substitution,BERT
"Futebol. Câmara do Porto quer transmissão de jogos em drive-in
","o rádio do porto
",Analogy,TFIDFVectorizer
"Futebol. Câmara do Porto quer transmissão de jogos em drive-in
","a retransmissão do sacerdote
",Analogy,BERT
"Futebol. Câmara do Porto quer transmissão de jogos em drive-in
","a transmissão do porto
",Comp_Vec,TFIDFVectorizer
"Futebol. Câmara do Porto quer transmissão de jogos em drive-in
","foge de um porto azul aleitado; ou desces à transmissão ou ficas molhado.
",Comp_Vec,BERT
"Futebol. Câmara do Porto quer transmissão de jogos em drive-in
","o vinho do porto
",-,TFIDFVectorizer
"Futebol. Câmara do Porto quer transmissão de jogos em drive-in
","lisboa é praça de armas, coimbra dos estudantes, porto dos mercadores, vila real dos amantes.
",-,BERT
"Apoiante do Chega junta-se ao líder dos Super Dragões e compra o Canelas
","dia do super líder
",Substitution,TFIDFVectorizer
"Apoiante do Chega junta-se ao líder dos Super Dragões e compra o Canelas
","diário de uma inspectora do livro de negócios
",Substitution,BERT
"Apoiante do Chega junta-se ao líder dos Super Dragões e compra o Canelas
","o leão dos dragões
",Analogy,TFIDFVectorizer
"Apoiante do Chega junta-se ao líder dos Super Dragões e compra o Canelas
","a liderança de um líder
",Analogy,BERT
"Apoiante do Chega junta-se ao líder dos Super Dragões e compra o Canelas
","dragão do super apoiante
",Comp_Vec,TFIDFVectorizer
"Apoiante do Chega junta-se ao líder dos Super Dragões e compra o Canelas
","as águas de sua apoiante
",Comp_Vec,BERT
"Apoiante do Chega junta-se ao líder dos Super Dragões e compra o Canelas
","dia do super pai
",-,TFIDFVectorizer
"Apoiante do Chega junta-se ao líder dos Super Dragões e compra o Canelas
","receia-se menos um bravo em cólera, que um cobarde que dissimula.
",-,BERT
"Bolsonaro diz ter imagem negativa no exterior porque a imprensa é de esquerda
","diz o roto ao exterior ""porque não te vestes tu?"".
",Substitution,TFIDFVectorizer
"Bolsonaro diz ter imagem negativa no exterior porque a imprensa é de esquerda
","por vezes os positivos matam
",Substitution,BERT
"Bolsonaro diz ter imagem negativa no exterior porque a imprensa é de esquerda
","diz o roto ao negativo ""porque não te vestes tu?"".
",Analogy,TFIDFVectorizer
"Bolsonaro diz ter imagem negativa no exterior porque a imprensa é de esquerda
","não sou um homem negativa
",Analogy,BERT
"Bolsonaro diz ter imagem negativa no exterior porque a imprensa é de esquerda
","exterior postais de cabo negativa
",Comp_Vec,TFIDFVectorizer
"Bolsonaro diz ter imagem negativa no exterior porque a imprensa é de esquerda
","a exterior não serve negativa para usar boné.
",Comp_Vec,BERT
"Bolsonaro diz ter imagem negativa no exterior porque a imprensa é de esquerda
","o livro de imagem
",-,TFIDFVectorizer
"Bolsonaro diz ter imagem negativa no exterior porque a imprensa é de esquerda
","a grama é sempre mais verde do lado do vizinho.
",-,BERT
"Sergio Moro diz ter sido pressionado por Bolsonaro para aumentar acesso a munições
","o que eu seria de ter sido
",Substitution,TFIDFVectorizer
"Sergio Moro diz ter sido pressionado por Bolsonaro para aumentar acesso a munições
","ninguém diga desta vez não beberei.
",Substitution,BERT
"Sergio Moro diz ter sido pressionado por Bolsonaro para aumentar acesso a munições
","moro por ter cão, moro por não ter.
",Analogy,TFIDFVectorizer
"Sergio Moro diz ter sido pressionado por Bolsonaro para aumentar acesso a munições
","por onde moram as palavras
",Analogy,BERT
"Sergio Moro diz ter sido pressionado por Bolsonaro para aumentar acesso a munições
","moro por pressionar cão, moro por não pressionar.
",Comp_Vec,TFIDFVectorizer
"Sergio Moro diz ter sido pressionado por Bolsonaro para aumentar acesso a munições
","mais pressione morar rabo de pescada que cabeça de sardinha.
",Comp_Vec,BERT
"Sergio Moro diz ter sido pressionado por Bolsonaro para aumentar acesso a munições
","o que eu gostaria de ter sido
",-,TFIDFVectorizer
"Sergio Moro diz ter sido pressionado por Bolsonaro para aumentar acesso a munições
","em outubro manda o boi para o palheiro e o barco para o muro.
",-,BERT
"Desconfinamento: Em domingo de sol, mais de 180 mil pessoas foram às praias da Caparica
","o fim de domingo
",Substitution,TFIDFVectorizer
"Desconfinamento: Em domingo de sol, mais de 180 mil pessoas foram às praias da Caparica
","dia pai o que é a crise?
",Substitution,BERT
"Desconfinamento: Em domingo de sol, mais de 180 mil pessoas foram às praias da Caparica
","às três é de praia.
",Analogy,TFIDFVectorizer
"Desconfinamento: Em domingo de sol, mais de 180 mil pessoas foram às praias da Caparica
","a praia acalanta a banhista
",Analogy,BERT
"Desconfinamento: Em domingo de sol, mais de 180 mil pessoas foram às praias da Caparica
","o sol de domingo
",Comp_Vec,TFIDFVectorizer
"Desconfinamento: Em domingo de sol, mais de 180 mil pessoas foram às praias da Caparica
","em praia de marido e mulher, ninguém mete a colher.
",Comp_Vec,BERT
"Desconfinamento: Em domingo de sol, mais de 180 mil pessoas foram às praias da Caparica
","o passeio de domingo
",-,TFIDFVectorizer
"Desconfinamento: Em domingo de sol, mais de 180 mil pessoas foram às praias da Caparica
","mais vale uma vista do dono, que cem brados do abegão.
",-,BERT
"Festa em piscina junta milhares de pessoas durante a pandemia nos EUA
","a festa das pessoas
",Substitution,TFIDFVectorizer
"Festa em piscina junta milhares de pessoas durante a pandemia nos EUA
","discutamos muitas mulheres, mas não disputemos nunca.
",Substitution,BERT
"Festa em piscina junta milhares de pessoas durante a pandemia nos EUA
","a pandemia das pessoas
",Analogy,TFIDFVectorizer
"Festa em piscina junta milhares de pessoas durante a pandemia nos EUA
","a melhor pandemia de solteira
",Analogy,BERT
"Festa em piscina junta milhares de pessoas durante a pandemia nos EUA
","a pandemia e a piscina
",Comp_Vec,TFIDFVectorizer
"Festa em piscina junta milhares de pessoas durante a pandemia nos EUA
","só de bagos fez uma velha cem piscinas.
",Comp_Vec,BERT
"Festa em piscina junta milhares de pessoas durante a pandemia nos EUA
","a cidade das pessoas
",-,TFIDFVectorizer
"Festa em piscina junta milhares de pessoas durante a pandemia nos EUA
","só de bagos fez uma velha cem pipas.
",-,BERT
"""Parece um político de outro planeta"". Espanha rendida à fotografia de Marcelo nas redes sociais
","ao fim de um outro amor
",Substitution,TFIDFVectorizer
"""Parece um político de outro planeta"". Espanha rendida à fotografia de Marcelo nas redes sociais
","se dize o que eu sei, cala-te que eu me calarei.
",Substitution,BERT
"""Parece um político de outro planeta"". Espanha rendida à fotografia de Marcelo nas redes sociais
","diário de um banana: uma rendida viagem
",Analogy,TFIDFVectorizer
"""Parece um político de outro planeta"". Espanha rendida à fotografia de Marcelo nas redes sociais
","barriga cheia, cara rendida.
",Analogy,BERT
"""Parece um político de outro planeta"". Espanha rendida à fotografia de Marcelo nas redes sociais
","planeta de homem, cu de mulher e nariz de cão rendida aquecem no verão.
",Comp_Vec,TFIDFVectorizer
"""Parece um político de outro planeta"". Espanha rendida à fotografia de Marcelo nas redes sociais
","chuva miúda e neve rendida, são bom alimento de planeta lavrada.
",Comp_Vec,BERT
"""Parece um político de outro planeta"". Espanha rendida à fotografia de Marcelo nas redes sociais
","planeta faz de conta
",-,TFIDFVectorizer
"""Parece um político de outro planeta"". Espanha rendida à fotografia de Marcelo nas redes sociais
","relâmpagos ao norte, vento forte, se do sul vem, chuva também.
",-,BERT
"Ana Gomes está a “refletir“, sem “pressa“, sobre a sua eventual candidatura à Presidência: “Há outras prioridades“
","a pressa é inimiga da presidência.
",Substitution,TFIDFVectorizer
"Ana Gomes está a “refletir“, sem “pressa“, sobre a sua eventual candidatura à Presidência: “Há outras prioridades“
","manhã de candidato, tarde de calmeiro.
",Substitution,BERT
"Ana Gomes está a “refletir“, sem “pressa“, sobre a sua eventual candidatura à Presidência: “Há outras prioridades“
","devagar que gomo pressa.
",Analogy,TFIDFVectorizer
"Ana Gomes está a “refletir“, sem “pressa“, sobre a sua eventual candidatura à Presidência: “Há outras prioridades“
","não pereiras a mão em prato onde te gomem as unhas.
",Analogy,BERT
"Ana Gomes está a “refletir“, sem “pressa“, sobre a sua eventual candidatura à Presidência: “Há outras prioridades“
","não há luar mais eventual que o de gomo.
",Comp_Vec,TFIDFVectorizer
"Ana Gomes está a “refletir“, sem “pressa“, sobre a sua eventual candidatura à Presidência: “Há outras prioridades“
","uma eventual que gomava um gato
",Comp_Vec,BERT
"Ana Gomes está a “refletir“, sem “pressa“, sobre a sua eventual candidatura à Presidência: “Há outras prioridades“
","sobre tudo sobre nada
",-,TFIDFVectorizer
"Ana Gomes está a “refletir“, sem “pressa“, sobre a sua eventual candidatura à Presidência: “Há outras prioridades“
","em zanga de marido e mulher não se mete a colher.
",-,BERT
"OMS considera cada vez mais improvável segunda grande vaga
","um titular de cada vez
",Substitution,TFIDFVectorizer
"OMS considera cada vez mais improvável segunda grande vaga
","cada um chega a brasa à sua hipótese.
",Substitution,BERT
"OMS considera cada vez mais improvável segunda grande vaga
","é de espinho improvável
",Analogy,TFIDFVectorizer
"OMS considera cada vez mais improvável segunda grande vaga
","zomba o inevitável do improvável.
",Analogy,BERT
"OMS considera cada vez mais improvável segunda grande vaga
","a vaga improvável serve para atrapalhar
",Comp_Vec,TFIDFVectorizer
"OMS considera cada vez mais improvável segunda grande vaga
","exterminador improvável - destino sombrio
",Comp_Vec,BERT
"OMS considera cada vez mais improvável segunda grande vaga
","um dia de cada vez
",-,TFIDFVectorizer
"OMS considera cada vez mais improvável segunda grande vaga
","o grande circo dos artistas
",-,BERT
"Centros comerciais preparados para reabrir em junho
","come para viver, não comerciais para comer.
",Substitution,TFIDFVectorizer
"Centros comerciais preparados para reabrir em junho
","as trocas apressadas parem cães tortos.
",Substitution,BERT
"Centros comerciais preparados para reabrir em junho
","reabre para viver, não vivas para reabrer.
",Analogy,TFIDFVectorizer
"Centros comerciais preparados para reabrir em junho
","a bom ou mau retomar, três vezes reabrir.
",Analogy,BERT
"Centros comerciais preparados para reabrir em junho
","reabre para viver, não comerciais para reabrer.
",Comp_Vec,TFIDFVectorizer
"Centros comerciais preparados para reabrir em junho
","casa comercial e mesa reabre, hóspedes espera.
",Comp_Vec,BERT
"Centros comerciais preparados para reabrir em junho
","em junho foucinha no punho.
",-,TFIDFVectorizer
"Centros comerciais preparados para reabrir em junho
","sem ovos não se fazem omeletes.
",-,BERT
"E se uma flor consumisse o mundo?
","a maior rosa do mundo
",Substitution,TFIDFVectorizer
"E se uma flor consumisse o mundo?
","a espécie dos sonhos
",Substitution,BERT
"E se uma flor consumisse o mundo?
","numa mulher não se consome nem com uma flor.
",Analogy,TFIDFVectorizer
"E se uma flor consumisse o mundo?
","só eu consumo chupar
",Analogy,BERT
"E se uma flor consumisse o mundo?
","numa mulher não se consome nem com uma flor.
",Comp_Vec,TFIDFVectorizer
"E se uma flor consumisse o mundo?
","como consumir a flor
",Comp_Vec,BERT
"E se uma flor consumisse o mundo?
","a maior flor do mundo
",-,TFIDFVectorizer
"E se uma flor consumisse o mundo?
","ainda que sejas prudente e velho, não desprezes o conselho.
",-,BERT
"Versão digital do Louvre com mais de 10 milhões de visitas em 71 dias
","de armas e visitas
",Substitution,TFIDFVectorizer
"Versão digital do Louvre com mais de 10 milhões de visitas em 71 dias
","como se desenha uma hora
",Substitution,BERT
"Versão digital do Louvre com mais de 10 milhões de visitas em 71 dias
","diário digital de um caçador de vampiros
",Analogy,TFIDFVectorizer
"Versão digital do Louvre com mais de 10 milhões de visitas em 71 dias
","digitais: a última coelha
",Analogy,BERT
"Versão digital do Louvre com mais de 10 milhões de visitas em 71 dias
","digital secreto de um caçador de vampiros
",Comp_Vec,TFIDFVectorizer
"Versão digital do Louvre com mais de 10 milhões de visitas em 71 dias
","a arca de noé foi digital por amadores; os visitas construíram o titanic.
",Comp_Vec,BERT
"Versão digital do Louvre com mais de 10 milhões de visitas em 71 dias
","a minha versão do amor
",-,TFIDFVectorizer
"Versão digital do Louvre com mais de 10 milhões de visitas em 71 dias
","lisboa é praça de armas, coimbra dos estudantes, porto dos mercadores, vila real dos amantes.
",-,BERT
"Oito distritos sob aviso amarelo devido ao calor a partir de amanhã
","o aviso é devido.
",Substitution,TFIDFVectorizer
"Oito distritos sob aviso amarelo devido ao calor a partir de amanhã
","um problema quase perfeito
",Substitution,BERT
"Oito distritos sob aviso amarelo devido ao calor a partir de amanhã
","o distrito é devido.
",Analogy,TFIDFVectorizer
"Oito distritos sob aviso amarelo devido ao calor a partir de amanhã
","há festa no bairro
",Analogy,BERT
"Oito distritos sob aviso amarelo devido ao calor a partir de amanhã
","crónicas de amarela cruz
",Comp_Vec,TFIDFVectorizer
"Oito distritos sob aviso amarelo devido ao calor a partir de amanhã
","distritos de palmo e amarelo
",Comp_Vec,BERT
"Oito distritos sob aviso amarelo devido ao calor a partir de amanhã
","antes de eu partir
",-,TFIDFVectorizer
"Oito distritos sob aviso amarelo devido ao calor a partir de amanhã
","dificilmente o que habita perto da origem abandona o lugar
",-,BERT
"Coronavírus: Roma vai multar pessoas que atirem máscaras ou luvas para o chão
","quem tem cima vai a roma.
",Substitution,TFIDFVectorizer
"Coronavírus: Roma vai multar pessoas que atirem máscaras ou luvas para o chão
","na cima turva é que se apanha o bargue.
",Substitution,BERT
"Coronavírus: Roma vai multar pessoas que atirem máscaras ou luvas para o chão
","quem tem boca atira a roma.
",Analogy,TFIDFVectorizer
"Coronavírus: Roma vai multar pessoas que atirem máscaras ou luvas para o chão
","tortura o teu pano e dura mais um ano. volta a atirar e mais um ano vai durar.
",Analogy,BERT
"Coronavírus: Roma vai multar pessoas que atirem máscaras ou luvas para o chão
","aquilo que sabe bem ou atira mal ou multa pecado.
",Comp_Vec,TFIDFVectorizer
"Coronavírus: Roma vai multar pessoas que atirem máscaras ou luvas para o chão
","sempre promete em multa, pois, ao atirar, ninguém te ajuda.
",Comp_Vec,BERT
"Coronavírus: Roma vai multar pessoas que atirem máscaras ou luvas para o chão
","quem tem boca vai a roma.
",-,TFIDFVectorizer
"Coronavírus: Roma vai multar pessoas que atirem máscaras ou luvas para o chão
","muitos comandantes levam o navio pela encosta acima.
",-,BERT
"Reportagem: De máscara e sem medo, os alunos voltam aos laboratórios: “É impossível replicar à distância o que se faz aqui”
","quando de faz uma máscara, faz-se o testo para ela.
",Substitution,TFIDFVectorizer
"Reportagem: De máscara e sem medo, os alunos voltam aos laboratórios: “É impossível replicar à distância o que se faz aqui”
","a raiva é a última a morrer.
",Substitution,BERT
"Reportagem: De máscara e sem medo, os alunos voltam aos laboratórios: “É impossível replicar à distância o que se faz aqui”
","o vinho faz bem aos homens quando são as mulheres que o replicam.
",Analogy,TFIDFVectorizer
"Reportagem: De máscara e sem medo, os alunos voltam aos laboratórios: “É impossível replicar à distância o que se faz aqui”
","quem muito acerta pouco replica.
",Analogy,BERT
"Reportagem: De máscara e sem medo, os alunos voltam aos laboratórios: “É impossível replicar à distância o que se faz aqui”
","a máscara de replicar leal
",Comp_Vec,TFIDFVectorizer
"Reportagem: De máscara e sem medo, os alunos voltam aos laboratórios: “É impossível replicar à distância o que se faz aqui”
","pelo amor se replica o céu.
",Comp_Vec,BERT
"Reportagem: De máscara e sem medo, os alunos voltam aos laboratórios: “É impossível replicar à distância o que se faz aqui”
","a um mar de distância
",-,TFIDFVectorizer
"Reportagem: De máscara e sem medo, os alunos voltam aos laboratórios: “É impossível replicar à distância o que se faz aqui”
","poente nubloso, vermelho acobreado safa a japona, que o tempo é molhado.
",-,BERT
"Saúde: Bloco quer saber quando arrancam os projectos-piloto para o cuidador informal
","quando um burro fala, os outros arrancam as orelhas.
",Substitution,TFIDFVectorizer
"Saúde: Bloco quer saber quando arrancam os projectos-piloto para o cuidador informal
","ministra nabiça, tudo o que vê, tudo cobiça.
",Substitution,BERT
"Saúde: Bloco quer saber quando arrancam os projectos-piloto para o cuidador informal
","quem cuidadora quer saber.
",Analogy,TFIDFVectorizer
"Saúde: Bloco quer saber quando arrancam os projectos-piloto para o cuidador informal
","quando ao sol posto o norte é puro, tens bom tempo cuidador.
",Analogy,BERT
"Saúde: Bloco quer saber quando arrancam os projectos-piloto para o cuidador informal
","quem cuidadora quer arrancar.
",Comp_Vec,TFIDFVectorizer
"Saúde: Bloco quer saber quando arrancam os projectos-piloto para o cuidador informal
","quando o cuidador arranca na rocha quem se lixa é o mexilhão.
",Comp_Vec,BERT
"Saúde: Bloco quer saber quando arrancam os projectos-piloto para o cuidador informal
","quem pergunta quer saber.
",-,TFIDFVectorizer
"Saúde: Bloco quer saber quando arrancam os projectos-piloto para o cuidador informal
","vaticano: o rosto oculto do estado mais pequeno do mundo
",-,BERT
"Inspectores da Educação dizem que faltam meios para travar inflação de notas
","notas de que não falamos
",Substitution,TFIDFVectorizer
"Inspectores da Educação dizem que faltam meios para travar inflação de notas
","história de um crescimento
",Substitution,BERT
"Inspectores da Educação dizem que faltam meios para travar inflação de notas
","depois de eu travar não faltam colheres.
",Analogy,TFIDFVectorizer
"Inspectores da Educação dizem que faltam meios para travar inflação de notas
","depois de eu avançar não travam colheres.
",Analogy,BERT
"Inspectores da Educação dizem que faltam meios para travar inflação de notas
","depois de eu travar não faltam colheres.
",Comp_Vec,TFIDFVectorizer
"Inspectores da Educação dizem que faltam meios para travar inflação de notas
","não falte o sapateiro travar rabecão.
",Comp_Vec,BERT
"Inspectores da Educação dizem que faltam meios para travar inflação de notas
","por encanto: notas de outono
",-,TFIDFVectorizer
"Inspectores da Educação dizem que faltam meios para travar inflação de notas
","muitos comandantes levam o navio pela encosta acima.
",-,BERT
"Urbanismo: Obra no quarteirão da Casa Forte já tem licença para avançar
","já tem casa para ter juízo
",Substitution,TFIDFVectorizer
"Urbanismo: Obra no quarteirão da Casa Forte já tem licença para avançar
","o sentido do pai
",Substitution,BERT
"Urbanismo: Obra no quarteirão da Casa Forte já tem licença para avançar
","já tem idade para ter quarteirão
",Analogy,TFIDFVectorizer
"Urbanismo: Obra no quarteirão da Casa Forte já tem licença para avançar
","a cordilheira da montanha
",Analogy,BERT
"Urbanismo: Obra no quarteirão da Casa Forte já tem licença para avançar
","a casa ao urbanismo
",Comp_Vec,TFIDFVectorizer
"Urbanismo: Obra no quarteirão da Casa Forte já tem licença para avançar
","quarteirão dá o frio conforme a roupa.
",Comp_Vec,BERT
"Urbanismo: Obra no quarteirão da Casa Forte já tem licença para avançar
","já tem idade para ter juízo
",-,TFIDFVectorizer
"Urbanismo: Obra no quarteirão da Casa Forte já tem licença para avançar
","a menina do balcão e o poeta enamorado
",-,BERT
"Saúde: Um quarto das camas de medicina interna estão ocupadas com utentes que tiveram alta
","de lautas ceias estão as camas cheias.
",Substitution,TFIDFVectorizer
"Saúde: Um quarto das camas de medicina interna estão ocupadas com utentes que tiveram alta
","nascimento de uma estrutura
",Substitution,BERT
"Saúde: Um quarto das camas de medicina interna estão ocupadas com utentes que tiveram alta
","mais vale ocupadíssimo e com saúde do que pobre e doente.
",Analogy,TFIDFVectorizer
"Saúde: Um quarto das camas de medicina interna estão ocupadas com utentes que tiveram alta
","um gesto fútil e dominado
",Analogy,BERT
"Saúde: Um quarto das camas de medicina interna estão ocupadas com utentes que tiveram alta
","diário ocupadíssimo de um caçador de vampiros
",Comp_Vec,TFIDFVectorizer
"Saúde: Um quarto das camas de medicina interna estão ocupadas com utentes que tiveram alta
","diário ocupadíssimo de um caçador de vampiros
",Comp_Vec,BERT
"Saúde: Um quarto das camas de medicina interna estão ocupadas com utentes que tiveram alta
","um quarto com vista para o mar
",-,TFIDFVectorizer
"Saúde: Um quarto das camas de medicina interna estão ocupadas com utentes que tiveram alta
","ninguém aponte as faltas alheias com o dedo sujo.
",-,BERT
"Coronavírus: Europa deve ter frente unida para apoiar bancos, defende regulador
","quem não deve, não defende.
",Substitution,TFIDFVectorizer
"Coronavírus: Europa deve ter frente unida para apoiar bancos, defende regulador
","a cima mais brilhante
",Substitution,BERT
"Coronavírus: Europa deve ter frente unida para apoiar bancos, defende regulador
","a europa em frente
",Analogy,TFIDFVectorizer
"Coronavírus: Europa deve ter frente unida para apoiar bancos, defende regulador
","europas com razão, nem ao meu cão.
",Analogy,BERT
"Coronavírus: Europa deve ter frente unida para apoiar bancos, defende regulador
","gala unida 'a europa'
",Comp_Vec,TFIDFVectorizer
"Coronavírus: Europa deve ter frente unida para apoiar bancos, defende regulador
","horizonte puro, com fuzis brilhando, terás dia brando, com calor unidíssimo.
",Comp_Vec,BERT
"Coronavírus: Europa deve ter frente unida para apoiar bancos, defende regulador
","gente da minha terra - europa
",-,TFIDFVectorizer
"Coronavírus: Europa deve ter frente unida para apoiar bancos, defende regulador
","se deus não defende a cidade, debalde a vigiam seus guardas.
",-,BERT
"Carregamento normal de veículos elétricos em postos públicos pago a partir de julho
","em julho pagar vasculho.
",Substitution,TFIDFVectorizer
"Carregamento normal de veículos elétricos em postos públicos pago a partir de julho
","de fartas ceias estão as funcionárias cheias.
",Substitution,BERT
"Carregamento normal de veículos elétricos em postos públicos pago a partir de julho
","em casa de carregamento, espeto de descarregamento.
",Analogy,TFIDFVectorizer
"Carregamento normal de veículos elétricos em postos públicos pago a partir de julho
","em casa de carregamento, espeto de manuseamento.
",Analogy,BERT
"Carregamento normal de veículos elétricos em postos públicos pago a partir de julho
","de médico, de carregamento e de louco todos pagamo um pouco.
",Comp_Vec,TFIDFVectorizer
"Carregamento normal de veículos elétricos em postos públicos pago a partir de julho
","não peças a quem paga, nem sirvas a quem serviu.
",Comp_Vec,BERT
"Carregamento normal de veículos elétricos em postos públicos pago a partir de julho
","antes de eu partir
",-,TFIDFVectorizer
"Carregamento normal de veículos elétricos em postos públicos pago a partir de julho
","de couves cruas, mulheres nuas e lautas ceias estão as sepulturas cheias.
",-,BERT
"Saídas estreitas e muitos utilizadores. O apeadeiro que pode ser a chave da Covid-19 na Azambuja
","um lado pode ser o mundo
",Substitution,TFIDFVectorizer
"Saídas estreitas e muitos utilizadores. O apeadeiro que pode ser a chave da Covid-19 na Azambuja
","quem possa o mais possa o menos.
",Substitution,BERT
"Saídas estreitas e muitos utilizadores. O apeadeiro que pode ser a chave da Covid-19 na Azambuja
","um degrau pode ser o telhal
",Analogy,TFIDFVectorizer
"Saídas estreitas e muitos utilizadores. O apeadeiro que pode ser a chave da Covid-19 na Azambuja
","sem anos de azambuja
",Analogy,BERT
"Saídas estreitas e muitos utilizadores. O apeadeiro que pode ser a chave da Covid-19 na Azambuja
","o apeadeiro da azambuja
",Comp_Vec,TFIDFVectorizer
"Saídas estreitas e muitos utilizadores. O apeadeiro que pode ser a chave da Covid-19 na Azambuja
","mundo apeadeiro: reino caído
",Comp_Vec,BERT
"Saídas estreitas e muitos utilizadores. O apeadeiro que pode ser a chave da Covid-19 na Azambuja
","um degrau pode ser o mundo
",-,TFIDFVectorizer
"Saídas estreitas e muitos utilizadores. O apeadeiro que pode ser a chave da Covid-19 na Azambuja
","a arca de noé foi construída por amadores; os profissionais construíram o titanic.
",-,BERT
"Estudantes que regressaram aos Açores não conseguem chegar a casa
","se o pai chegar
",Substitution,TFIDFVectorizer
"Estudantes que regressaram aos Açores não conseguem chegar a casa
","não há mais aluno, que anos onze.
",Substitution,BERT
"Estudantes que regressaram aos Açores não conseguem chegar a casa
","casa em que não regressa não
",Analogy,TFIDFVectorizer
"Estudantes que regressaram aos Açores não conseguem chegar a casa
","quem não regressa, volta.
",Analogy,BERT
"Estudantes que regressaram aos Açores não conseguem chegar a casa
","não regresses aos outros o que não gostas que te consigam a ti.
",Comp_Vec,TFIDFVectorizer
"Estudantes que regressaram aos Açores não conseguem chegar a casa
","se um dia deus regressar, até com norte consiga chover.
",Comp_Vec,BERT
"Estudantes que regressaram aos Açores não conseguem chegar a casa
","se o dia chegar
",-,TFIDFVectorizer
"Estudantes que regressaram aos Açores não conseguem chegar a casa
","não faças aos outros o que não gostas que te façam a ti.
",-,BERT
"Governo espanhol retoma em junho libertação de frequência essencial para o 5G
","governo de beiroas para todos
",Substitution,TFIDFVectorizer
"Governo espanhol retoma em junho libertação de frequência essencial para o 5G
","há gente que prossegue portões
",Substitution,BERT
"Governo espanhol retoma em junho libertação de frequência essencial para o 5G
","retoma para viver, não vivas para retomar.
",Analogy,TFIDFVectorizer
"Governo espanhol retoma em junho libertação de frequência essencial para o 5G
","retomar vida sem dar
",Analogy,BERT
"Governo espanhol retoma em junho libertação de frequência essencial para o 5G
","a frequência retoma para o coração, o que a prevenção retoma para o espírito.
",Comp_Vec,TFIDFVectorizer
"Governo espanhol retoma em junho libertação de frequência essencial para o 5G
","quem vai ao mar retoma o lugar.
",Comp_Vec,BERT
"Governo espanhol retoma em junho libertação de frequência essencial para o 5G
","um filme muito espanhol
",-,TFIDFVectorizer
"Governo espanhol retoma em junho libertação de frequência essencial para o 5G
","poucos fuzis, trovões em barda, rumo em que o vento se alaparda.
",-,BERT
"Taxas de juro baixas vão “persistir por ainda mais tempo”, diz autoridade bancária europeia
","o beijo de uma europeia
",Substitution,TFIDFVectorizer
